name,short_team,team,drafted,url,handed,seasons,war,war/season
Andrew Heaney,MIA,Marlins,2012,/players/h/heanean01.shtml,LHP,1,-0.3,-0.3
Drew Steckenrider,MIA,Marlins,2012,/players/s/steckdr01.shtml,RHP,2,0.6,0.3
Nick Wittgren,MIA,Marlins,2012,/players/w/wittgni01.shtml,RHP,3,1.0,0.33
Brian Ellington,MIA,Marlins,2012,/players/e/ellinbr02.shtml,RHP,3,-0.4,-0.13
Dillon Peters,MIA,Marlins,2014,/players/p/peterdi01.shtml,LHP,2,-0.6,-0.3
Ben Meyer,MIA,Marlins,2015,/players/m/meyerbe02.shtml,RHP,1,-0.8,-0.8
Collin McHugh,NYM,Mets,2008,/players/m/mchugco01.shtml,RHP,2,-1.2,-0.6
Chris Schwinden,NYM,Mets,2008,/players/s/schwich01.shtml,RHP,2,-0.7,-0.35
Steven Matz,NYM,Mets,2009,/players/m/matzst01.shtml,LHP,4,5.1,1.27
Matt Harvey,NYM,Mets,2010,/players/h/harvema01.shtml,RHP,6,10.4,1.73
Jacob deGrom,NYM,Mets,2010,/players/d/degroja01.shtml,RHP,5,25.8,5.16
Akeel Morris,NYM,Mets,2010,/players/m/morriak01.shtml,RHP,1,-0.2,-0.2
Erik Goeddel,NYM,Mets,2010,/players/g/goedder01.shtml,RHP,4,0.7,0.17
Josh Edgin,NYM,Mets,2010,/players/e/edginjo01.shtml,LHP,5,1.7,0.34
Tyler Pill,NYM,Mets,2011,/players/p/pillty01.shtml,RHP,1,-0.3,-0.3
Jack Leathersich,NYM,Mets,2011,/players/l/leathja01.shtml,LHP,1,0.3,0.3
Robert Gsellman,NYM,Mets,2011,/players/g/gsellro01.shtml,RHP,3,0.4,0.13
Seth Lugo,NYM,Mets,2011,/players/l/lugose01.shtml,RHP,3,4.7,1.57
Chasen Bradford,NYM,Mets,2011,/players/b/bradfch02.shtml,RHP,1,0.3,0.3
Corey Oswalt,NYM,Mets,2012,/players/o/oswalco01.shtml,RHP,1,-0.5,-0.5
Paul Sewald,NYM,Mets,2012,/players/s/sewalpa01.shtml,RHP,2,-0.9,-0.45
Chris Flexen,NYM,Mets,2012,/players/f/flexech01.shtml,RHP,2,-1.9,-0.95
Tim Peterson,NYM,Mets,2012,/players/p/peterti01.shtml,RHP,1,-0.4,-0.4
Tyler Bashlor,NYM,Mets,2013,/players/b/bashlty01.shtml,RHP,1,0.1,0.1
Kevin McGowan,NYM,Mets,2013,/players/m/mcgowke01.shtml,RHP,1,0.0,0.0
P.J. Conlon,NYM,Mets,2015,/players/c/conlopj01.shtml,LHP,1,-0.2,-0.2
Tommy Milone,WSN,Nationals,2008,/players/m/milonto01.shtml,LHP,1,0.4,0.4
Stephen Strasburg,WSN,Nationals,2009,/players/s/strasst01.shtml,RHP,9,26.2,2.91
Drew Storen,WSN,Nationals,2009,/players/s/storedr01.shtml,RHP,6,5.2,0.87
Taylor Jordan,WSN,Nationals,2009,/players/j/jordata01.shtml,RHP,3,-0.6,-0.2
Nate Karns,WSN,Nationals,2009,/players/k/karnsna01.shtml,RHP,1,-0.4,-0.4
Sammy Solis,WSN,Nationals,2010,/players/s/solissa01.shtml,LHP,4,0.3,0.07
A.J. Cole,WSN,Nationals,2010,/players/c/coleaj01.shtml,RHP,4,-0.2,-0.05
Matt Grace,WSN,Nationals,2010,/players/g/gracema02.shtml,LHP,4,1.5,0.38
Aaron Barrett,WSN,Nationals,2010,/players/b/barreaa01.shtml,RHP,2,0.4,0.2
Taylor Hill,WSN,Nationals,2011,/players/h/hillta01.shtml,RHP,2,-0.2,-0.1
Lucas Giolito,WSN,Nationals,2012,/players/g/giolilu01.shtml,RHP,1,-0.5,-0.5
Austin Voth,WSN,Nationals,2013,/players/v/vothau01.shtml,RHP,1,-0.1,-0.1
Erick Fedde,WSN,Nationals,2014,/players/f/feddeer01.shtml,RHP,2,-0.2,-0.1
Austen Williams,WSN,Nationals,2014,/players/w/williau01.shtml,RHP,1,0.0,0.0
Koda Glover,WSN,Nationals,2015,/players/g/gloveko01.shtml,RHP,3,0.2,0.07
Brian Matusz,BAL,Orioles,2008,/players/m/matusbr01.shtml,LHP,8,2.7,0.34
Oliver Drake,BAL,Orioles,2008,/players/d/drakeol01.shtml,RHP,3,-0.1,-0.03
Mychal Givens,BAL,Orioles,2009,/players/g/givenmy01.shtml,SS,4,5.7,1.43
Ashur Tolliver,BAL,Orioles,2009,/players/t/tollias01.shtml,LHP,1,-0.1,-0.1
Parker Bridwell,BAL,Orioles,2010,/players/b/bridwpa01.shtml,RHP,1,-0.2,-0.2
Dylan Bundy,BAL,Orioles,2011,/players/b/bundydy01.shtml,RHP,4,4.6,1.15
Mike Wright Jr.,BAL,Orioles,2011,/players/w/wrighmi01.shtml,RHP,4,-1.0,-0.25
Tyler Wilson,BAL,Orioles,2011,/players/w/wilsoty01.shtml,RHP,3,0.7,0.23
Kevin Gausman,BAL,Orioles,2012,/players/g/gausmke01.shtml,RHP,6,10.3,1.72
Jimmy Yacabonis,BAL,Orioles,2013,/players/y/yacabji01.shtml,RHP,2,0.4,0.2
Stefan Crichton,BAL,Orioles,2013,/players/c/crichst01.shtml,RHP,1,-0.2,-0.2
Donnie Hart,BAL,Orioles,2013,/players/h/hartdo01.shtml,LHP,3,1.6,0.53
David Hess,BAL,Orioles,2014,/players/h/hessda01.shtml,RHP,1,0.7,0.7
Tanner Scott,BAL,Orioles,2014,/players/s/scottta01.shtml,LHP,2,-0.2,-0.1
John Means,BAL,Orioles,2014,/players/m/meansjo01.shtml,LHP,1,-0.2,-0.2
Ryan Meisinger,BAL,Orioles,2015,/players/m/meisiry01.shtml,RHP,1,-0.1,-0.1
Anthony Bass,SDP,Padres,2008,/players/b/bassan01.shtml,RHP,3,0.3,0.1
Nick Vincent,SDP,Padres,2008,/players/v/vinceni01.shtml,RHP,4,2.6,0.65
Brad Brach,SDP,Padres,2008,/players/b/brachbr01.shtml,RHP,3,-0.0,-0.0
Miles Mikolas,SDP,Padres,2009,/players/m/mikolmi01.shtml,RHP,2,0.2,0.1
Josh Spence,SDP,Padres,2010,/players/s/spencjo01.shtml,LHP,2,0.5,0.25
Kevin Quackenbush,SDP,Padres,2011,/players/q/quackke01.shtml,RHP,4,1.2,0.3
Colin Rea,SDP,Padres,2011,/players/r/reaco01.shtml,RHP,2,-0.4,-0.2
Burch Smith,SDP,Padres,2011,/players/s/smithbu03.shtml,RHP,1,-0.7,-0.7
Walker Lockett,SDP,Padres,2012,/players/l/lockewa01.shtml,RHP,1,-0.7,-0.7
Adam Cimber,SDP,Padres,2013,/players/c/cimbead01.shtml,RHP,1,0.5,0.5
Kyle Lloyd,SDP,Padres,2013,/players/l/lloydky01.shtml,RHP,1,-0.1,-0.1
Kyle McGrath,SDP,Padres,2014,/players/m/mcgraky01.shtml,LHP,2,0.4,0.2
Jacob Nix,SDP,Padres,2015,/players/n/nixja02.shtml,RHP,1,-1.1,-1.1
Brett Kennedy,SDP,Padres,2015,/players/k/kennebr02.shtml,RHP,1,-0.6,-0.6
Trey Wingenter,SDP,Padres,2015,/players/w/wingetr01.shtml,RHP,1,0.1,0.1
Phil Maton,SDP,Padres,2015,/players/m/matonph01.shtml,RHP,2,-0.3,-0.15
Eric Lauer,SDP,Padres,2016,/players/l/lauerer01.shtml,LHP,1,-0.2,-0.2
Joey Lucchesi,SDP,Padres,2016,/players/l/lucchjo01.shtml,LHP,1,0.5,0.5
Vance Worley,PHI,Phillies,2008,/players/w/worleva01.shtml,RHP,3,4.7,1.57
Jonathan Pettibone,PHI,Phillies,2008,/players/p/pettijo02.shtml,RHP,2,0.9,0.45
Michael Stutes,PHI,Phillies,2008,/players/s/sttuemi01.shtml,RHP,3,0.4,0.13
B.J. Rosenberg,PHI,Phillies,2008,/players/r/rosenbj01.shtml,RHP,3,-0.7,-0.23
Michael Schwimer,PHI,Phillies,2008,/players/s/schwimi01.shtml,RHP,2,-0.1,-0.05
Tyler Cloyd,PHI,Phillies,2008,/players/c/cloydty01.shtml,RHP,2,-0.8,-0.4
David Buchanan,PHI,Phillies,2010,/players/b/buchada01.shtml,RHP,2,0.0,0.0
Mario Hollands,PHI,Phillies,2010,/players/h/hollama01.shtml,LHP,1,0.0,0.0
Adam Morgan,PHI,Phillies,2011,/players/m/morgaad01.shtml,LHP,4,1.1,0.28
Ken Giles,PHI,Phillies,2011,/players/g/gileske01.shtml,RHP,2,3.7,1.85
Yacksel Rios,PHI,Phillies,2011,/players/r/riosya01.shtml,RHP,2,-0.4,-0.2
Colton Murray,PHI,Phillies,2011,/players/m/murraco02.shtml,RHP,2,-0.5,-0.25
Jesen Therrien,PHI,Phillies,2011,/players/d/dygesje01.shtml,RHP,1,-0.4,-0.4
Hoby Milner,PHI,Phillies,2012,/players/m/milneho01.shtml,LHP,2,1.0,0.5
Drew Anderson,PHI,Phillies,2012,/players/a/anderdr02.shtml,RHP,2,-0.1,-0.05
Mark Leiter,PHI,Phillies,2013,/players/l/leitema02.shtml,RHP,2,-0.6,-0.3
Aaron Nola,PHI,Phillies,2014,/players/n/nolaaa01.shtml,RHP,4,16.4,4.1
Austin Davis,PHI,Phillies,2014,/players/d/davisau01.shtml,LHP,1,0.2,0.2
Justin Wilson,PIT,Pirates,2008,/players/w/wilsoju10.shtml,LHP,3,1.5,0.5
Vic Black,PIT,Pirates,2009,/players/b/blackvi01.shtml,RHP,1,0.0,0.0
Phil Irwin,PIT,Pirates,2009,/players/i/irwinph01.shtml,RHP,1,-0.2,-0.2
Jameson Taillon,PIT,Pirates,2010,/players/t/taillja01.shtml,RHP,3,8.5,2.83
Nick Kingham,PIT,Pirates,2010,/players/k/kinghni01.shtml,RHP,1,-0.5,-0.5
Brandon Cumpton,PIT,Pirates,2010,/players/c/cumptbr01.shtml,RHP,2,0.1,0.05
Casey Sadler,PIT,Pirates,2010,/players/s/sadleca02.shtml,RHP,3,-0.4,-0.13
Gerrit Cole,PIT,Pirates,2011,/players/c/colege01.shtml,RHP,5,11.4,2.28
Tyler Glasnow,PIT,Pirates,2011,/players/g/glasnty01.shtml,RHP,3,-1.7,-0.57
Clay Holmes,PIT,Pirates,2011,/players/h/holmecl01.shtml,RHP,1,-0.5,-0.5
Chad Kuhl,PIT,Pirates,2013,/players/k/kuhlch01.shtml,RHP,3,2.6,0.87
Alex McRae,PIT,Pirates,2014,/players/m/mcraeal01.shtml,RHP,1,-0.1,-0.1
Tanner Anderson,PIT,Pirates,2015,/players/a/anderta01.shtml,RHP,1,-0.3,-0.3
Kyle Weiland,BOS,Red Sox,2008,/players/w/weilaky01.shtml,RHP,1,-0.6,-0.6
Alex Wilson,BOS,Red Sox,2009,/players/w/wilsoal01.shtml,RHP,2,0.3,0.15
Anthony Ranaudo,BOS,Red Sox,2010,/players/r/ranauan01.shtml,RHP,1,-0.1,-0.1
Henry Owens,BOS,Red Sox,2011,/players/o/owenshe02.shtml,LHP,2,0.2,0.1
Noe Ramirez,BOS,Red Sox,2011,/players/r/ramirno01.shtml,RHP,3,-0.7,-0.23
Brian Johnson,BOS,Red Sox,2012,/players/j/johnsbr02.shtml,LHP,3,1.6,0.53
Pat Light,BOS,Red Sox,2012,/players/l/lightpa01.shtml,RHP,1,-0.2,-0.2
Austin Maddox,BOS,Red Sox,2012,/players/m/maddoau01.shtml,RHP,1,0.7,0.7
Kyle Martin,BOS,Red Sox,2013,/players/m/martiky01.shtml,RHP,1,0.0,0.0
Jalen Beeks,BOS,Red Sox,2014,/players/b/beeksja02.shtml,LHP,1,-0.4,-0.4
Ben Taylor,BOS,Red Sox,2015,/players/t/taylobe10.shtml,RHP,1,-0.1,-0.1
Bobby Poyner,BOS,Red Sox,2015,/players/p/poynebo01.shtml,LHP,1,0.6,0.6
Pedro Villarreal,CIN,Reds,2008,/players/v/villape01.shtml,RHP,4,-0.2,-0.05
Justin Freeman,CIN,Reds,2008,/players/f/freemju02.shtml,RHP,1,-0.1,-0.1
Mike Leake,CIN,Reds,2009,/players/l/leakemi01.shtml,RHP,6,8.2,1.37
Nick Christiani,CIN,Reds,2009,/players/c/chrisni01.shtml,RHP,2,-0.1,-0.05
Drew Hayes,CIN,Reds,2010,/players/h/hayesdr01.shtml,RHP,1,-0.4,-0.4
Josh Smith,CIN,Reds,2010,/players/s/smithjo07.shtml,RHP,2,-0.5,-0.25
Robert Stephenson,CIN,Reds,2011,/players/s/stephro01.shtml,RHP,3,-0.9,-0.3
Tony Cingrani,CIN,Reds,2011,/players/c/cingrto01.shtml,LHP,6,2.1,0.35
Amir Garrett,CIN,Reds,2011,/players/g/garream01.shtml,LHP,2,-1.1,-0.55
Sal Romano,CIN,Reds,2011,/players/r/romansa01.shtml,RHP,2,0.0,0.0
Jon Moscot,CIN,Reds,2012,/players/m/moscojo01.shtml,RHP,2,-0.6,-0.3
Jackson Stephens,CIN,Reds,2012,/players/s/stephja01.shtml,RHP,2,-0.6,-0.3
Michael Lorenzen,CIN,Reds,2013,/players/l/lorenmi01.shtml,RHP,4,2.1,0.53
Zack Weiss,CIN,Reds,2013,/players/w/weissza01.shtml,RHP,1,0,0.0
Tyler Mahle,CIN,Reds,2013,/players/m/mahlety01.shtml,RHP,2,0.6,0.3
Daniel Wright,CIN,Reds,2013,/players/w/wrighda04.shtml,RHP,1,-0.7,-0.7
Layne Somsen,CIN,Reds,2013,/players/s/somsela01.shtml,RHP,1,-0.2,-0.2
Tanner Rainey,CIN,Reds,2015,/players/r/raineta01.shtml,RHP,1,-1.0,-1.0
Christian Friedrich,COL,Rockies,2008,/players/f/friedch01.shtml,LHP,3,-0.8,-0.27
Tyler Matzek,COL,Rockies,2009,/players/m/matzety01.shtml,LHP,2,2.5,1.25
Rex Brothers,COL,Rockies,2009,/players/b/brothre01.shtml,LHP,5,5.0,1.0
Rob Scahill,COL,Rockies,2009,/players/s/scahiro01.shtml,RHP,3,0.6,0.2
Chad Bettis,COL,Rockies,2010,/players/b/bettich01.shtml,RHP,6,4.0,0.67
Christian Bergman,COL,Rockies,2010,/players/b/bergmch01.shtml,RHP,3,-0.3,-0.1
Kenny Roberts,COL,Rockies,2010,/players/r/roberke02.shtml,LHP,1,0.0,0.0
Tyler Anderson,COL,Rockies,2011,/players/a/anderty01.shtml,LHP,3,7.4,2.47
Eddie Butler,COL,Rockies,2012,/players/b/butleed01.shtml,RHP,3,-2.1,-0.7
Matt Carasiti,COL,Rockies,2012,/players/c/carasma01.shtml,RHP,1,-0.6,-0.6
Scott Oberg,COL,Rockies,2012,/players/o/obergsc01.shtml,RHP,4,2.5,0.62
Jon Gray,COL,Rockies,2013,/players/g/grayjo02.shtml,RHP,4,7.0,1.75
Kyle Freeland,COL,Rockies,2014,/players/f/freelky01.shtml,LHP,2,11.6,5.8
Sam Howard,COL,Rockies,2014,/players/h/howarsa01.shtml,LHP,1,0.1,0.1
Harrison Musgrave,COL,Rockies,2014,/players/m/musgrha01.shtml,LHP,1,0.5,0.5
Jerry Vasto,COL,Rockies,2014,/players/v/vastoje01.shtml,LHP,1,-0.2,-0.2
Aaron Crow,KCR,Royals,2009,/players/c/crowaa01.shtml,RHP,4,2.6,0.65
Chris Dwyer,KCR,Royals,2009,/players/d/dwyerch01.shtml,LHP,1,0.1,0.1
Louis Coleman,KCR,Royals,2009,/players/c/colemlo01.shtml,RHP,5,3.1,0.62
Jason Adam,KCR,Royals,2010,/players/a/adamja01.shtml,RHP,1,-0.3,-0.3
Scott Alexander,KCR,Royals,2010,/players/a/alexasc02.shtml,LHP,3,2.5,0.83
Michael Mariot,KCR,Royals,2010,/players/m/mariomi01.shtml,RHP,2,-0.6,-0.3
Aaron Brooks,KCR,Royals,2011,/players/b/brookaa01.shtml,RHP,2,-0.5,-0.25
Jakob Junis,KCR,Royals,2011,/players/j/junisja01.shtml,RHP,2,2.6,1.3
Matt Strahm,KCR,Royals,2012,/players/s/strahma01.shtml,LHP,2,1.0,0.5
Alec Mills,KCR,Royals,2012,/players/m/millsal02.shtml,RHP,1,-0.2,-0.2
Jake Newberry,KCR,Royals,2012,/players/n/newbeja01.shtml,RHP,1,-0.1,-0.1
Luke Farrell,KCR,Royals,2013,/players/f/farrelu01.shtml,RHP,1,-0.2,-0.2
Kevin McCarthy,KCR,Royals,2013,/players/m/mccarke01.shtml,RHP,3,1.1,0.37
Brandon Finnegan,KCR,Royals,2014,/players/f/finnebr01.shtml,LHP,2,0.6,0.3
Eric Skoglund,KCR,Royals,2014,/players/s/skogler01.shtml,LHP,2,-0.5,-0.25
Eric Stout,KCR,Royals,2014,/players/s/stouter01.shtml,LHP,1,-0.4,-0.4
Tim Hill,KCR,Royals,2014,/players/h/hillti01.shtml,LHP,1,-0.4,-0.4
Ryan Perry,DET,Tigers,2008,/players/p/perryry01.shtml,RHP,3,0.6,0.2
Robbie Weinhardt,DET,Tigers,2008,/players/w/weinhro01.shtml,RHP,2,-1.0,-0.5
Thad Weber,DET,Tigers,2008,/players/w/weberth01.shtml,RHP,1,-0.2,-0.2
Jacob Turner,DET,Tigers,2009,/players/t/turneja01.shtml,RHP,2,-1.1,-0.55
Andy Oliver,DET,Tigers,2009,/players/o/olivean01.shtml,LHP,2,-0.8,-0.4
Adam Wilk,DET,Tigers,2009,/players/w/wilkad01.shtml,LHP,2,-0.4,-0.2
Chance Ruffin,DET,Tigers,2010,/players/r/ruffich01.shtml,RHP,1,0.0,0.0
Drew Smyly,DET,Tigers,2010,/players/s/smylydr01.shtml,LHP,3,5.9,1.97
Kyle Ryan,DET,Tigers,2010,/players/r/ryanky01.shtml,LHP,4,1.4,0.35
Jeff Ferrell,DET,Tigers,2010,/players/f/ferreje01.shtml,RHP,2,-0.1,-0.05
Chad Smith,DET,Tigers,2011,/players/s/smithch09.shtml,RHP,1,0.0,0.0
Guido Knudson,DET,Tigers,2011,/players/k/knudsgu01.shtml,RHP,1,-0.3,-0.3
Drew VerHagen,DET,Tigers,2012,/players/v/verhadr01.shtml,RHP,5,1.0,0.2
Corey Knebel,DET,Tigers,2013,/players/k/knebeco01.shtml,RHP,1,-0.2,-0.2
Buck Farmer,DET,Tigers,2013,/players/f/farmebu01.shtml,RHP,5,-1.1,-0.22
Zac Reininger,DET,Tigers,2013,/players/r/reiniza01.shtml,RHP,2,-0.5,-0.25
Joe Mantiply,DET,Tigers,2013,/players/m/mantijo01.shtml,LHP,1,-0.2,-0.2
Spencer Turnbull,DET,Tigers,2014,/players/t/turnbsp01.shtml,RHP,1,-0.1,-0.1
Artie Lewicki,DET,Tigers,2014,/players/l/lewicar01.shtml,RHP,2,-0.1,-0.05
Matt Hall,DET,Tigers,2015,/players/h/hallma02.shtml,LHP,1,-0.6,-0.6
Michael Tonkin,MIN,Twins,2008,/players/t/tonkimi01.shtml,RHP,5,-0.3,-0.06
Kyle Gibson,MIN,Twins,2009,/players/g/gibsoky01.shtml,RHP,6,9.4,1.57
Alex Wimmers,MIN,Twins,2010,/players/w/wimmeal01.shtml,RHP,2,0.2,0.1
Pat Dean,MIN,Twins,2010,/players/d/deanpa02.shtml,LHP,1,-0.3,-0.3
Logan Darnell,MIN,Twins,2010,/players/d/darnelo01.shtml,LHP,1,-0.4,-0.4
Ryan O'Rourke,MIN,Twins,2010,/players/o/orourry01.shtml,LHP,2,0.0,0.0
A.J. Achter,MIN,Twins,2010,/players/a/achteaj01.shtml,RHP,2,-0.2,-0.1
Jason Wheeler,MIN,Twins,2011,/players/w/wheelja01.shtml,LHP,1,-0.1,-0.1
Jose Berrios,MIN,Twins,2012,/players/b/berrijo01.shtml,RHP,3,4.1,1.37
Tyler Duffey,MIN,Twins,2012,/players/d/duffety01.shtml,RHP,4,-0.8,-0.2
Taylor Rogers,MIN,Twins,2012,/players/r/rogerta01.shtml,LHP,3,4.1,1.37
Kohl Stewart,MIN,Twins,2013,/players/s/stewako01.shtml,RHP,1,0.6,0.6
Stephen Gonsalves,MIN,Twins,2013,/players/g/gonsast01.shtml,LHP,1,-0.6,-0.6
Aaron Slegers,MIN,Twins,2013,/players/s/slegeaa01.shtml,RHP,2,-0.2,-0.1
John Curtiss,MIN,Twins,2014,/players/c/curtijo02.shtml,RHP,2,-0.2,-0.1
Trevor Hildenberger,MIN,Twins,2014,/players/h/hildetr01.shtml,RHP,2,0.2,0.1
Andrew Vasquez,MIN,Twins,2015,/players/v/vasquan02.shtml,LHp,1,-0.1,-0.1
Daniel Hudson,CHW,White Sox,2008,/players/h/hudsoda01.shtml,RHP,2,0.2,0.1
Charles Leesman,CHW,White Sox,2008,/players/l/leesmch01.shtml,LHP,2,-0.7,-0.35
Taylor Thompson,CHW,White Sox,2008,/players/t/thompta01.shtml,RHP,1,-0.2,-0.2
Taylor Thompson,CHW,White Sox,2009,/players/t/thompta01.shtml,RHP,1,-0.2,-0.2
Chris Sale,CHW,White Sox,2010,/players/s/salech01.shtml,LHP,7,30.3,4.33
Jake Petricka,CHW,White Sox,2010,/players/p/petrija01.shtml,RHP,5,2.4,0.48
Addison Reed,CHW,White Sox,2010,/players/r/reedad01.shtml,RHP,3,1.1,0.37
Erik Johnson,CHW,White Sox,2011,/players/j/johnser04.shtml,RHP,4,0.3,0.07
Scott Snodgress,CHW,White Sox,2011,/players/s/snodgsc01.shtml,LHP,1,-0.3,-0.3
Chris Bassitt,CHW,White Sox,2011,/players/b/bassich01.shtml,RHP,1,0.6,0.6
Chris Beck,CHW,White Sox,2012,/players/b/beckch02.shtml,RHP,4,-1.1,-0.28
Tyler Danish,CHW,White Sox,2013,/players/d/danisty01.shtml,RHP,3,-0.0,-0.0
Brad Goldberg,CHW,White Sox,2013,/players/g/goldbbr01.shtml,RHP,1,-0.3,-0.3
Carlos Rodon,CHW,White Sox,2014,/players/r/rodonca01.shtml,LHP,4,6.6,1.65
Jace Fry,CHW,White Sox,2014,/players/f/fryja01.shtml,LHP,2,-0.2,-0.1
Aaron Bummer,CHW,White Sox,2014,/players/b/bummeaa01.shtml,LHP,2,0.1,0.05
Carson Fulmer,CHW,White Sox,2015,/players/f/fulmeca01.shtml,RHP,3,-0.8,-0.27
Ian Hamilton,CHW,White Sox,2016,/players/h/hamilia01.shtml,RHP,1,-0.1,-0.1
Brett Marshall,NYY,Yankees,2008,/players/m/marshbr01.shtml,RHP,1,0.0,0.0
D.J. Mitchell,NYY,Yankees,2008,/players/m/mitchdj01.shtml,RHP,1,0.1,0.1
David Phelps,NYY,Yankees,2008,/players/p/phelpda01.shtml,RHP,3,1.9,0.63
Adam Warren,NYY,Yankees,2009,/players/w/warread01.shtml,RHP,4,7.5,1.88
Caleb Cotham,NYY,Yankees,2009,/players/c/cothaca01.shtml,RHP,1,-0.1,-0.1
Shane Greene,NYY,Yankees,2009,/players/g/greensh02.shtml,RHP,1,0.6,0.6
Bryan Mitchell,NYY,Yankees,2009,/players/m/mitchbr01.shtml,RHP,4,-0.2,-0.05
Danny Burawa,NYY,Yankees,2010,/players/b/burawda01.shtml,RHP,1,-0.2,-0.2
Chase Whitley,NYY,Yankees,2010,/players/w/whitlch01.shtml,RHP,2,-0.1,-0.05
Preston Claiborne,NYY,Yankees,2010,/players/c/claibpr01.shtml,RHP,2,0.4,0.2
Conor Mullee,NYY,Yankees,2010,/players/m/mulleco01.shtml,RHP,1,0.1,0.1
Branden Pinder,NYY,Yankees,2011,/players/p/pindebr01.shtml,RHP,2,0.4,0.2
Nick Goody,NYY,Yankees,2011,/players/g/goodyni01.shtml,RHP,2,0.2,0.1
Matt Tracy,NYY,Yankees,2011,/players/t/tracyma01.shtml,LHP,1,-0.1,-0.1
Nick Goody,NYY,Yankees,2012,/players/g/goodyni01.shtml,RHP,2,0.2,0.1
James Pazos,NYY,Yankees,2012,/players/p/pazosja01.shtml,LHP,2,0.1,0.05
Nick Rumbelow,NYY,Yankees,2013,/players/r/rumbeni01.shtml,RHP,1,0.1,0.1
Tyler Webb,NYY,Yankees,2013,/players/w/webbty01.shtml,LHP,1,0.0,0.0
Caleb Smith,NYY,Yankees,2013,/players/s/smithca03.shtml,LHP,1,-0.3,-0.3
Jacob Lindgren,NYY,Yankees,2014,/players/l/lindgja01.shtml,LHP,1,0.0,0.0
Jordan Montgomery,NYY,Yankees,2014,/players/m/montgjo01.shtml,LHP,2,3.5,1.75
Jonathan Holder,NYY,Yankees,2014,/players/h/holdejo02.shtml,RHP,3,1.5,0.5
Chance Adams,NYY,Yankees,2015,/players/a/adamsch01.shtml,RHP,1,-0.2,-0.2
